Year,Sugar Revenue in pounds,,Retained Slave Imports
1748,688,,8004
1749,603,,4730
1750,561,,2866
1751,569,,4127
1752,586,,5079
1753,718,,6759
1754,702,,7959
1755,836,,12125
1756,777,,9264
1757,754,,6992
1758,922,,2994
1759,1015,,4531
1760,1622,,5205
1761,1556,,5838
1762,1020,,6047
1763,994,,8497
1764,1104,,7574
1765,1001,,6945
1766,1070,,9536
1767,1234,,2873
1768,1278,,5465
1769,1210,,3155
1770,1350,,5988
1771,1294,,3512
1772,1264,,4355
1773,1501,,8876
1774,1856,,15937
1775,1618,,7663
